MUSEUMID,SITENAME,VESSELNAME,OTHERNAMES,PROTECTED,NMREGNR,NHBDBID,OPERATOROWNER,ORIGIN,LAUNCHEDY,PERIODC,VESSELTYPE,PURPOSE,PROPULSION,LENGTHM,BEAMM,DRAFTHEIGHTM,TONNAGEBRT,DISPLACEMENTT,CREW,PHYSICALDESCRIPTION,BIOGRAPHY,LASTFLAG,LASTCAPTAIN,LASTVOYAGE,DATEOFDEPARTURE,PORTOFDEPARTURE,DESTINATION,CARGO,TASK,WRECKED,LATITUDE,LONGITUDE,ALTERNATIVELAT,ALTERNATIVELONG,COORDINATEACCURACY,LOCATIONDESCRIPTION,SHIPWRECKINGCAUSE,SHIPWRECKINGY,DEPTHM,TOPONYM,LOCATIONTYPE,STORYOFSHIPWRECKING,EXTENTOFPRESERVATION,POSITIONONSEABED,DAMAGES,DISCOVERYY,DISCOVERER,STORYOFDISCOVERY,OBJECTSRECOVERED,MUIS,REPORTS,SONARIMAGES,OTHERSOURCES,MARKERICON,ICONMUSEUMID,TEXT
3171,Pregrada,Pregrada,"Bore, Boris, Aura, Aura I, Planeta",ei,,,,Rootsi,1858,19. sajand,aurik,reisi-kaubalaev,aurulaev,36.52,6.73,,286,,,,"1858 - ehitamine, Rootsi
alates august 1914 - tegutsemine miinitraalerina
alates august 1915 - tegutsemine patrull-laevana (brandvaht)
19.10.1917 - laevahukk",,,,,,,,,jah,,,,,,Põõsaspea,karilesõit,1917,,Põõsaspea neem,neem,Hukkus 19.10.1917.a. Põõsaspea rannakividel.,,,,,,"Leidmata, ilmselt koristatud",ei,,,,"A72 lk.129, foto “Boris”",w_blue,purple_circle,"Pregrada (ex Bore, Boris, Aura, Aura I, Planeta) Raj. III -   , aurik, reisi-kaubalaev, alates 08.1914. miinitraaler, alates 08.1915 patrull-laev (brandvaht), ehit. 1858 Rootsis, 286 BRT, L=36,52 m  B=6,73 m, hukkus 19.10.1917.a. Põõsaspea rannakividel. Leidmata, ilmselt koristatud. (A72 lk.129, foto “Boris”)"
2406,Glückliche Ankunft,Glückliche Ankunft,,jah,27865,30,,"Saksamaa, Lübeck",,18. sajand,galiott,reisi-kaubalaev,purjelaev,,,,,,,,"18.10.1767 - laevahukk
2002 - avastamine",,,Peterburi-Lübeck,,Peterburi,Lübeck,,,jah,59.6273333,25.3223333,,,,Põhja-Malusi rand,randumine,1767,,Põhja-Malusi,rannikulähedane,"Sõitis teel Peterburist kodusadamasse kinni Põhja-Malusi randa 18.10.1767.a., rüüstati ja põletati kohalike randlaste poolt.",,,"Rüüstatud, põletatud",2002,Eesti Meremuuseum,Vrakk leitud Meremuuseumi poolt 2002. aastal,ei,,,,"Mäss, V. (2006). Laevahukulood. Tallinn: Ilo. Lk 122.
A59, A184, videofilm",w_blue,red_circle,"Glückliche Ankunft, Raj. II - , Lübecki kaubalaev, sõitis teel Peterburist kodusadamasse kinni Põhja-Malusi randa 18.10.1767.a., rüüstati ja põletati kohalike randlaste poolt. Vrakk leitud Meremuuseumi poolt 2002. aastal. (A59, A184, videofilm)"
4161,Škiv,Škiv,T-208,ei,,1241,,Venemaa,,20. sajand,miinitraaler,reisi-kaubalaev,diiselelektrilaev,62,7,,,476,,"1-100 mm suurtükk, 1- 45 mm suurtükk, 1-37 mm suurtükk, 40 miini, sügavveepommid.",24.06.1941 - laevahukk,,,,,,,,,jah,59.1259833,22.9856333,,"Kere:59.126,22.985667; vöör:59.1265,22.9905",,Laine poi lähistel,miin,1941,,Laine madal,madal,Hukkus miinil Laine poi lähistel 24.06.1941.,,,,,,Viisnurk vöörist ja K täht Meremuuseumis.,jah,Viisnurk vöörist ja K täht Meremuuseumis.,,,"merekaardil, A1 lk.37|132, A164, foto, video, A311 lk.99",w_blue,pink_circle,"Schkiv (T-208), Raj. IV -  , miinitraaler, veeväljasurve 476 t. L=62 m, B=7 m, 1-100 mm suurtükk, 1- 45 mm suurtükk, 1-37 mm suurtükk, 40 miini, sügavveepommid. Hukkus miinil Laine poi lähistel 24.06.1941. Viisnurk vöörist ja K täht Meremuuseumis. (merekaardil, A1 lk.37,132, A164, foto, video, A311 lk.99)"
6207,Gustav,Gustav,"Sif, BT-575",ei,,,,Taani,1899,19. sajand,,reisi-kaubalaev,,28.66,5.52,,107.96,,,Ühetekiline reisi-kaubalaev,"1899 - ehitamine, Kopenhaagen
03.09.1941 - laevahukk
? - ülestõstmine
1944 - üleminek Eesti Merelaevanduse käsutusse
? - Sõitmine Haapsalu nime all Heltermaa-Rohuküla liinil
1960 - Lloydi registrist kustutamine",,,,,,,,,üles tõstetud,,,,,,Kõiguste lahe lähistel,pommitabamus,1941,,Kõiguste laht,laht,"Uputati lennukipommiga Kõiguste lahe lähistel 03.09.1941.a. Hiljem tõsteti üles, taastati ja läks 1944.a. Eesti Merelaevanduse käsutusse. Sõitnud mõnda aega Haapsalu nime all Heltermaa – Rohuküla liinil (?).Lloydi registrist kustutati 1960.",,,,,,Pärast laevahukku üles tõstetud. Taastati ja läks 1944.a. Eesti Merelaevanduse käsutusse. Sõitnud mõnda aega Haapsalu nime all Heltermaa – Rohuküla liinil (?).Lloydi registrist kustutati 1960.,ei,,,,"A2 lk.187, A4 lk.37, Schmelzkopf Gustav.",mechanic,ltblu_circle,"Gustav (ex Sif, BT-575), Raj. VI - , 1-e tekiline reisi-kaubalaev, ehit.1899 Kopenhaagenis, 107,96 BRT  L=28,66 m B=5,52 m, uputati lennukipommiga Kõiguste lahe lähistel 03.09.1941.a. Hiljem tõsteti üles, taastati ja läks 1944.a. Eesti Merelaevanduse käsutusse. Sõitnud mõnda aega Haapsalu nime all Heltermaa – Rohuküla liinil (?).Lloydi registrist kustutati 1960. (A2 lk.187, A4 lk.37, Schmelzkopf Gustav. )"
2378,Andrei Ždanov,Andrei Ždanov,,ei,,,,Venemaa,,20. sajand,,reisi-kaubalaev,,105,14.6,,3870,,,,"12.11.1941 - laevahukk
oktoober 2011 - vraki filmimine ja uurimine",Vene,,,,,,,,jah,59.9997,26.3031,,,,Juminda miiniväli,miiniväli,1941,,Juminda miiniväli,miiniväli,Hukkus Juminda miiniväljal,,,,,,Leiti Nordstream gaasitrassi uuringul. Soome sukeldujad uurisid ja filmisid vrakki 2011.aasta oktoobris.,ei,,,,"A1, A324 B Loviisa sanomat 28 okt. 2011",w_blue,red_circle,"Andrei Ždanov, Raj. II -  , Vene reisi-kaubalaev, 3870 brt, pikkus 105,00 meetrit ja laius 14,60 meetrit, hukkus Juminda miiniväljal 12. novembril 1941. aastal. Leiti Nordstream gaasitrassi uuringul koordinaatides 59*59,9844´N; 26*18,1831´E. Soome sukeldujad uurisid ja filmisid vrakki 2011.aasta oktoobris.(A1, A324 B Loviisa sanomat 28 okt. 2011)"
590,Suurop,Suurop,Apostol Pavel,ei,,,,"Šotimaa, Glasgow",1905,20. sajand,aurik,reisilaev,aurulaev,57.83,15.35,,,500,,"Ratasaurik. Algselt rannavete reisilaev, hiljem miiniveeskja.","1905 - ehitamine, Inglismaa, Glasgow
11.08.1941 - laevahukk, Suur väin
2009 - vrakilt leitud 8 meremiini hävitamine mereväe tuukrite poolt",,,,,,,miinid,,jah,,,,,,Suur väin,miin,1941,,Suur väin,väin,Hukkus miinil Suures väinas 11.08.1941.a.,,,,,,,ei,,,,"merekaardil, A1 lk.124, A50 lk.405, A67 lk.58, A139, foto, sonari pilt, A311 lk.129",w_blue,orange_circle,"Suurop (ex Apostol Pavel), Raj. V -   , ratasaurik, algselt rannavete reisilaev, hiljem miiniveeskja, veeväljasurve 500 t, L=57,83 m  B=15,35 m , ehit. Inglismaal (Glasgows) 1905.a., hukkus miinil Suures väinas 11.08.1941.a. Vrakilt leitud 8 meremiini hävitati Eesti mereväe miinituukrite poolt 2009.a. sügisel. (merekaardil, A1 lk.124, A50 lk.405, A67 lk.58, A139, foto, sonari pilt, A311 lk.129)"
17,Kondors,Kondors,,ei,,,,,1939,20. sajand,aurik,reisilaev,aurulaev,37.39,7.04,,210,,,,"1939 - ehitamine, Diepen, Waterhuizen
11.10.1941 - laevahukk",,,,,,,,,jah,,,,,,"Hiiumaa lähistel, Väinameres?. Praegune asukoht teadmata",õhurünnak,1941,,Hiiumaa,rannikulähedane,Hukkus Hiiumaa lähistel (Väinameres ?) lennurünnaku tagajärjel 11.10.1941.a. Asukoht teadmata.,,,,,,Asukoht teadmata,ei,,,,"A2 lk.192, A4 lk.39",w_blue,ylw_circle,"Kondors, Raj. ?, aurik, reisilaev 210 BRT, [ehit. 1939.a. (Diepen, Waterhuizen), L=37,39 m  B=7,04 m ?]. Hukkus Hiiumaa lähistel (Väinameres ?) lennurünnaku tagajärjel 11.10.1941.a. Asukoht teadmata. (A2 lk.192, A4 lk.39)"
6113,Oldambt,Oldambt,Wilhelm Tell (ekslik),ei,,138,,Holland,1914,20. sajand,transpordilaev,reisilaev,aurulaev,46.2,7.7,,470,,,,"1914 - ehitamine, Arnhem, Holland
29.12.1916 - kaaperdamine UB-40 poolt
23.06.1917 - määramine sõjaväe transportlaevade flotilli koosseisu
04.01.1918 - laevahukk",,,,,,,,,jah,58.1295,22.394,58.1295,22.3941,,Suur katel,,1918,,Suur katel,laht,Hukkus I maailmasõja ajal 04.01.1918. aastal Suures katlas,,,,,,,ei,,,,"A41, A87, A348",w_blue,ltblu_circle,"Oldambt (ekslikult Wilhelm Tell), Raj. VI -   , aurik, (varustuslaev), ehit. 1914.a Arnhemi laevatehases, 470 brt, pikkus 46,2 ja laius 7,7 meetrit, kaaperdati 29.12.1916.a. UB-40 poolt ja määrati 23.06.1917.a. sõjaväe transportlaevade flotilli koosseisu, hukkus I maailmasõja ajal 04.01.1918.a. Suur-Katel lahes koordinaatides 58*07,769´N; 22*23,648´E. (A41, A87, A348)"
820,Merkuuri,Merkuuri,,ei,,,,Saksamaa,1921,20. sajand,,reisilaev,,30.4,7.2,,129,310,,"350 HJ, reisijate arv 80","1921 - ehitamine, Saksamaa
1967 - mahakandmine ja mahajätmine",,,,,,,,,jah,,,,,,Pärnu jõe kallas. Praegune asukoht teadmata.,mahajätmine,1967,,Pärnu jõgi,jõgi,Kanti maha 1967.a.(?) ja jäeti Pärnu jõe kaldasse. Saatus teadmata.,,,,,,Praegune asukoht teadmata,ei,,,,Foto 490:16 Meremuuseumi arhiivis ja vrakiregistris,w_blue,blu_circle,"Merkuuri, Raj. VIII -   , reisilaev, ehit. Saksamaal 1921.a. veeväljasurve 310 t, mahutavus 129 BRT, L=30,4 m B=7,2 m, 350 HJ, reisijate arv 80. Kanti maha 1967.a.(?) ja jäeti Pärnu jõe kaldasse. Saatus teadmata. (Foto 490:16 Meremuuseumi arhiivis ja vrakiregistris)"
387,Jossif Stalin,Jossif Stalin,BT-521,ei,,197,,Venemaa,,20. sajand,,reisilaev,turboelektrilaev,,,,7645,,,,"03.12.1941 - sõit miinile
05.12.1941 - triivimine Lohusalu randa
11.07.1945 - ülestõstmine, vanarauaks lõikamine",,,,,,,,,üles tõstetud,59.4141,24.193,,"Ahter: 59.4141,24.1930; vöör:
59.4151,24.1934",,,miin,1941,,Lohusalu,rannikulähedane,"Läks miini otsa Naissaare lähistel 03.12.41.a. Triivis 05.12.1941.a. Lohusalu randa. Tõsteti üles 11.07.1945.a., toodi Tallinna ja lõigati vanarauaks, algselt Miinisadamas, lõpuosa tõmmati Paljassaares traktoritega kaldale. Laeva vööri- ja ahtriosi jäi Lohusalu rannavette.",,,,,,,jah,,,,"merekaardil, B Peremees, Otsus, A2 lk.106-109|196 A4 lk.41, foto",mechanic,purple_circle,"Jossif Stalin (BT-521), Raj. III -  , turboelektrilaev, reisilaev, 7645 BRT. Läks miini otsa Naissaare lähistel 03.12.41.a. Triivis 05.12.1941.a. Lohusalu randa. Tõsteti üles 11.07.1945.a., toodi Tallinna ja lõigati vanarauaks, algselt Miinisadamas, lõpuosa tõmmati Paljassaares traktoritega kaldale. Laeva vööri- ja ahtriosi jäi Lohusalu rannavette. (merekaardil, B Peremees, Otsus, A2 lk.106-109,196 A4 lk.41, foto)"
77,Lvitsa,Lvitsa,,ei,,,,Venemaa,,20. sajand,allveelaev,sõjalaev,,,,,,,,Bars-klassi allveelaev,11.06.1917 - laevahukk,,,,,,,,,jah,,,,,,Arvatavalt Gotlandi lähistel. Praegune asukoht teadmata,,1917,,,,"Hukkus I maailmasõja ajal Läänemerel 11.06.1917.aastal, arvatavalt Gotlandi lähistel.",,,,,,Leidmata,ei,,,,,w_blue,,"Lvitsa, Raj. - , Vene Bars klassi allveelaev, hukkus I maailmasõja ajal Läänemerel 11.06.1917.aastal, arvatavalt Gotlandi lähistel. Leidmata."
250,M-256 või M-216,"M-256, M-216",,ei,,,,Venemaa,,20. sajand,allveelaev,sõjalaev,,,,,,,,"Maljutka-klassi allveelaev, M-256 või M-216",,,,,,,,,,,59.5575,24.6798,59.5578,24.6792,,,,,55,,,,,,,,,,,,,,"Mäss, V. (2006). Laevahukulood. Tallinn: Ilo. Lk 60.
A435, Lutt",w_blue,red_circle,"M-256, Raj. II -  , Vene “Maljutka” klassi allveelaev, mis hukkus E pool Viimsi poolsaart 1957.a. septembrikuus. Allveelaeval tekkis tulekahju vedela hapniku kasutamise tõttu diiselmootori tööks veealusel sõidul ning tormise ilma tõttu ei õnnestunud ka päästmine. Allveelaev hukkus teadmata kohas ning koos laevaga läks põhja 28 meremeest, 7 päästeti. 2012.a. maikuus avastas VTA uurimislaev Jakob Prei tundmatu M klassi allveelaeva Tallinna lahel koordinaatides 59*33,4477´N; 24*40,7873´E 55 meetri sügavusel, millist ekslikult arvati olevat M-256. (A435, Lutt); M-216 , Raj. II -  , Tallinna lahte 1962. aastal teadlikult uputatud XV seeria M klassi eksperimentaalne allveelaev, mis vee all liikudes kasutas diiselmootorite toiteks vedelat hapnikku. Mahakantuna uputati see treeninglaevaks mereväe tuukritele. 2012. Aasta maikuus avastas selle Veeteede Ameti moodne uurimislaev Jakob Prei. Koordinaadid 59*33,4477´N; 24*40,7873´E"
4204,U-676,U-676,,ei,,,,Saksamaa,1943,20. sajand,allveelaev,sõjalaev,,,,,,769/871,,proj. VII C,"1943 - ehitamine
19.02.1945 - laevahukk
2012 - avastamine",,komandör Werner Sass,,,,,,,jah,,,,,,Osmussaarest W pool,miin,1943,,Osmussaar,saarelähedane,Hukkus miinil Osmussaarest W pool 19.02.1945.a.,,,,2012,Soome sukeldujad,Leitud Soome sukeldujate poolt 2012.a,ei,,,,"A69 lk.153, A207",w_blue,pink_circle,"U-676 (Saksa allveelaev, proj. VII C), Raj. IV -   ,   ehit. 1943.a., veeväljasurve 769/871 t, hukkus miinil Osmussaarest W pool 19.02.1945.a. Komandör Werner Sass. Leitud Soome sukeldujate poolt 2012.a. (A69 lk.153, A207)"
4205,U-745,U-745,,ei,,,,Saksamaa,1943,20. sajand,allveelaev,sõjalaev,,,,,,769/871,,proj. VII C,"1943 - ehitamine
04.02.1945 - laevahukk
2012 - avastamine",,Komandör Oblt. Wilhelm von Trotha,,,,,,,jah,,,,,,Ahvenamaa lähistel,miin,1943,,Ahvenamaa,,Hukkus miinil Ahvenamaa lähistel 04.02.1945.a.,,,,2012,Soome sukeldujad,Leitud Soome sukeldujate poolt 2012. a.,ei,,,,"A69 lk.153, A207",w_blue,pink_circle,"U-745 (Saksa allveelaev, proj. VII C), Raj. IV -   , ehit. 1943.a., veeväljasurve 769/871 t, hukkus miinil Ahvenamaa lähistel 04.02.1945.a. Komandör Oblt. Wilhelm von Trotha. Leitud Soome sukeldujate poolt 2012.a. (A69 lk.153, A207)"
2375,Štš-305,Štša-305,,ei,,,,Venemaa,,20. sajand,allveelaev,sõjalaev,,,,,,,,Štšuka klassi allveelaev,"24.06.1942 - uputamine Soome valvelaevade ""VMV 1"" ja ""VMV 13"" poolt",,,,,,,,sõjaline,jah,59.925,26.18,59.918,26.1688,täpne,,pommirünnak,1942,,Soome laht,avameri,"Uputati 24.06.1942. aastal Soome valvelaevade ""VMV 1"" ja ""VMV 13"" poolt sügavveepommidega",,,,,,,ei,,,,,w_blue,red_circle,"Štša-305, Raj. II - , Vene Štšuka klassi allveelaev, uputati 24.06.1942. aastal Soome valvelaevade VMV 1 ja 13 poolt sügavveepommidega koordinaatides arvatavalt 59*56´N; 26*12´E. Peilungite järgi täpsustatud koordinaadid 59*55,5´N; 26*10,8´E (59*55,51´N; 26*10,62´E)"
3164,Mestj,Mestj,,ei,,,,Venemaa,,20. sajand,allveelaev,sõjalaev,,49.5,4.4,,,283/350,,"Vene M-200 allveelaev, XV seeria esimene. Veeväljasurve 283/350 t.",21.11.1956 - laevahukk,,,,,,,,,üles tõstetud,,,,,,Suurupi väin,kokkupõrge,1956,,Suurupi väin,väin,"Hukkus Suurupi väinas kokkupõrke tagajärjel Vene eskaadrimiinilaevaga Statnõi 21.nov.1956.aastal. Sillalolnud mehed visati merre, ülejäänud meeskond lämbus laeva sees. Tõsteti peatselt üles.",,,,,,,jah,,,,"Mäss, V. (2006). Laevahukulood. Tallinn: Ilo. Lk 150

B Koppelmann, A7 lk.69|70 A140 lk.11, A345 lk.150-153",mechanic,purple_circle,"Mestj, Raj. III -   , Vene M-200 allveelaev, XV seeria esimene, pikkus 49,5 m, laius 4,4 m, veeväljasurve 283/350 t, hukkus Suurupi väinas kokkupõrke tagajärjel Vene eskaadrimiinilaevaga Statnõi 21.nov.1956.aastal. Sillalolnud mehed visati merre, ülejäänud meeskond lämbus laeva sees. Tõsteti peatselt üles. (B Koppelmann, A7 lk.69,70 A140 lk.11, A345 lk.150-153)"
9,Bars,Bars,,ei,,,,Venemaa,,20. sajand,allveelaev,sõjalaev,,,,,,,,,I maailmasõda - laevahukk,,,,,,,,,jah,,,,,,"Rootsi rannikul, Norrköpingi lähistel",,,,Norrköping,,"Hukkus I maailmasõja ajal arvatavalt Rootsi rannikul, Norrköpingu lähistel.",,,,,,,ei,,,,,w_blue,ylw_circle,"Bars, Raj. ?  , Vene allveelaev, hukkus I maailmasõja ajal arvatavalt Rootsi rannikul, Norrköpingu lähistel."
716,C-32,C-32,,ei,,,,Inglismaa,1910,20. sajand,allveelaev,sõjalaev,,43.58,4.11,,,290/320,,,"1910 - ehitamine
21.10.1917 - kinnisõitmine ja õhkimine
02.09.1921 - ülestõstmine, hiljem lammutamine",Inglise,,,,,,,,lammutatud,58.3175,23.8833,,,ligikaudne,Vaiste lahe suul Kastna küla all,"randumine, õhkimine",1917,,Kastna,rannikulähedane,"Sõitis kinni ja lasti meeskonna poolt Pärnu lahes (Vaiste lahe suul, Kastna küla all) õhku 21.10.1917. Tõsteti 02.09.1921 üles, toodi Tallinna ja lammutati.",,,,,,,ei,,,,"A16 lk.469, A56 lk.1-2, foto",mechanic,grn_circle,"C-32, Raj. VII -  , Inglise allveelaev, ehit. 1910.a., veeväljasurve 290/320 t, L=43,58 m  B=4,11 m,   sõitis kinni ja lasti meeskonna poolt Pärnu lahes (Vaiste lahe suul, Kastna küla all) õhku 21.10.1917.a. Tõsteti 02.09.1921.a. üles, toodi Tallinna ja lammutati.(A16 lk.469, A56 lk.1-2, foto)"
2451,Kalev,Kalev,,ei,,,,Eesti,1936,20. sajand,allveelaev,sõjalaev,,57,7.5,,,625/820,,,"1936 - ehitamine, Inglismaa
31.10-1.11.1941 - arvatav laevahukuaeg",,,,,,,,,jah,,,,,,Arvatavasti Juminda miiniväli. Praegune asukoht teadmata,,1941 ?,,,,"Hukkus Soome lahes, arvatavalt Juminda miiniväljal 31.10.-1.11. 1941.a. Leidmata.",,,,,,Leidmata,ei,,,,"A2 lk.129-131|133|190|193|209  A38, A324, A345 lk.188-189; foto",w_blue,red_circle,"Kalev (1), Raj. II -  , allveelaev, Lembitu sõsarlaev, ehit. 1936 Inglismaal, veeväljasurve 625/820 t, L=57 m   B=7,5 m, hukkus Soome lahes, arvatavalt Juminda miiniväljal 31.10.-1.11. 1941.a. Leidmata. (A2 lk.129-131,133,190,193,209  A38, A324, A345 lk.188-189; foto)"
78,M-78,M-78,,ei,,,,Venemaa,1935,20. sajand,allveelaev,sõjalaev,,36.3,3.1,,,160/196,,,"1935-1936 - ehitamine
23.06.1941 - laevahukk
2000 - avastamine",,,,,,,,,jah,,,,,,Ventspilsi lähistel,torpeedo,1941,60,Ventspils,,Torpedeeriti Saksa allveelaeva U-144 poolt Ventspilsi lähistel 23.06.1941.a.,,,,2000,"Rootsi uurimislaev ""Altair""","Vraki avastas Rootsi uurimislaev ""Altair"" 2000.a. juulikuus 60 m sügavuselt.",ei,,,,"""Postimees 25.07.2000",w_blue,,"M-78 (Vene allveelaev), Raj.  , ehit. 1935-36.a, veeväljasurve 160/196 t. L=36,3 m  B=3,1 m. Torpedeeriti Saksa allveelaeva U-144 poolt Ventspilsi lähistel 23.06.1941.a. Vraki avastas Rootsi uurimislaev ""Altair"" 2000.a. juulikuus 60 m sügavuselt. (""Postimees 25.07.2000)"
4185,M-81,M-81,,ei,,,,Venemaa,1935,20. sajand,allveelaev,sõjalaev,,36.3,3.1,,,160/196,,,"1935-1936 - ehitamine
01.07.1941 - laevahukk
1965 - ülestõstmine",,,,,,,,,üles tõstetud,,,,,,Laine madala lähistel,miin,1941,,Laine madal,madal,Hukkus miinil Laine madala lähistel 01.07.1941.a. Tõsteti üles mais 1965.a.,,,,,,,jah,,,,"A1 lk.44|121, A38",mechanic,pink_circle,"M-81 (Vene allveelaev), Raj. IV -   , ehit.1935.-36.a., veeväljasurve 160/196 t, L=36,3 m  B=3,1 m. Hukkus miinil Laine madala lähistel 01.07.1941.a. Tõsteti üles mais 1965.a. (A1 lk.44,121, A38)"
4186,M-99,M-99,,ei,,,,Venemaa,1940,20. sajand,allveelaev,sõjalaev,,44.5,3.3,,,203/254,,,"1940 - ehitamine
20.06.1941 - laevahukk",,,,,,,,,jah,,,,,,Vormsist NW pool,"torpeedo, miin",1941,,Vormsi,saarelähedane,"Hukkus miinil (?), torpedeerituna U-149 poolt Vormsist NW 20.06.1941.a. Saatus teadmata.",,,,,,Saatus teadmata,ei,,,,"A1 lk.38|120, A38",w_blue,pink_circle,"M-99 (Vene allveelaev), Raj. IV -   , ehit. 1940.a., veeväljasurve 203/254 t, L=44,5 m  B=3,3 m. Hukkus miinil (?), torpedeerituna U-149 poolt Vormsist NW 20.06.1941.a. Saatus teadmata. (A1 lk.38,120, A38)"
4199,S-11,S-11,,ei,,,,Venemaa,1938,20. sajand,allveelaev,sõjalaev,,77.7,6.4,,,837/1073,,,"1938 - ehitamine
02.08.1941 - laevahukk
1955 - ülestõstmine",,,,,,,,,üles tõstetud,,,,,,Soela väin,miin,1941,,Soela väin,väin,Uppus Soela väinas miini plahvatuse läbi 02.08.1941.a. Tõsteti üles 1955.a.,,,,,,,jah,,,,"A38, A36 lk.165-166",mechanic,pink_circle,"S-11 Raj. IV -   , Vene allveelaev, veeväljasurve 837/1073 t, ehit. 1938.a., L=77,7 m  B=6,4 m. Uppus Soela väinas miini plahvatuse läbi 02.08.1941.a. Tõsteti üles 1955.a. (A38, A36 lk.165-166)"
2321,S-5,S-5,,jah,30724,922,,Venemaa,1935,20. sajand,allveelaev,sõjalaev,diiselelektrilaev,,,,,,,,,,,,,,,,,,59.8143,25.6024,59.8034,25.5911,,,,,,,,,,,,,,,,,,,"A1,A324",w_blue,red_circle,
4200,S-7,S-7,,ei,,,,Venemaa,,20. sajand,allveelaev,sõjalaev,,,,,,,,,"21.10.1942 - laevahukk
1998 - avastamine",,,,,,,,,jah,,,,,,"Botnia lahe suul, Söderarmi majaka lähedal Ahvenameres",torpeedo,1942,,Ahvenameri,,"Torpedeeriti 21.10.1942.a. Soome allveelaeva ""Vesihiisi"" poolt",,,,1998,,Vrakk leiti rootslaste poolt 1998. aastal.,ei,,,,"A142, sonari pilt, A345 lk.223-224",w_blue,pink_circle,"S-7 Raj. IV -  , Vene allveelaev, torpedeeriti 21.10.1942.a. Soome allveelaeva ""Vesihiisi"" poolt Botnia lahe suul (Söderarmi majaka lähedal) Ahvenameres. Vrakk leiti rootslaste poolt 1998.a. (A142, sonari pilt, A345 lk.223-224)."
2518,Štša-301,Štša-301,,ei,,,,Venemaa,,20. sajand,allveelaev,sõjalaev,,57.5,6.2,,,572/692,,,28.08.1941 - laevahukk,,,,,,,,,jah,,,,,,Juminda miiniväli,,1941,,Juminda miiniväli,miiniväli,"Hukkus Juminda miiniväljal 28.augustil 1941.a. Tegemist näib olevat sama allveelaevaga, milline allatulistatud",,,,,,"Tegemist näib olevat sama allveelaevaga, milline allatulistatud Soome reisilennuki “Kaleva” postikotid Eesti kalureilt konfiskeeris. Vrakk identifitseeritud ahtriosa purustuste järgi.",ei,,,,"A1; A324, A345 lk. 226-234",w_blue,red_circle,"Štša-301, Raj. II - , Vene allveelaev veeväljasurvega 572/692 t, pikkus 57,50 meetrit, laius 6,20 meetrit, hukkus Juminda miiniväljal 28.augustil 1941.a. Tegemist näib olevat sama allveelaevaga, milline allatulistatud Soome reisilennuki “Kaleva” postikotid Eesti kalureilt konfiskeeris. Vrakk identifitseeritud ahtriosa purustuste järgi. (A1; A324, A345 lk. 226-234)"
371,Štša-322,Štša-322,,ei,,,,Venemaa,,20. sajand,allveelaev,sõjalaev,,,,,,,,,"2010 - avastamine
sügis 2010 - sonariuuringud",Vene,,Soome lahe idaosa-Läänemeri,,,,,,jah,59.5224,24.046,59.5221,24.0463,,Pakri poolsaare tipust umbes 8 miili N poole,,,98,Pakri poolsaar,avameri,Hukkus teadmata kuupäeval teekonnal Soome lahe idaosast Läänemerre.,,,,2010,"""Sektori"" meeskond",Leitud Veeteede Ameti hüdrograafialaeva Sektori poolt 2010. aastal. Vrakki salvestas uurimislaev Mare sama aasta sügisel.(,ei,,,,"A Lutt, Sektori, sonari pildid; B Lutt, Mäss, Peremees, sonari ja videoroboti pildid",w_blue,purple_circle,"Štša-322, Raj. III -  , Vene allveelaev, hukkus teadmata kuupäeval teekonnal Soome lahe idaosast Läänemerre. Leitud Veeteede Ameti hüdrograafialaeva Sektori poolt 2010. aastal koordinaatides 59*31,3289´N; 24*02,7805´E, sügavusel 98 meetrit. Vrakki salvestas uurimislaev Mare sama aasta sügisel.(A Lutt, Sektori, sonari pildid); Lutt 19 (Štša-322) Raj. III -  , Vene allveelaeva Štša-322 vrakk Pakri poolsaare tipust ca 8 miili N poole, 98 m sügavusel, koordinaatides 59*31,3289´N; 24*02,7805´E (B Lutt, Mäss, Peremees, sonari ja videoroboti pildid)"
2478,M0-311,M0-311,,ei,,,,Venemaa,,20. sajand,allveelaevahävitaja,sõjalaev,,,,,,,,,13.10.1941 - laevahukk,,,Hankost itta,,Hanko,,,,jah,,,,,,Juminda miiniväli,miin,1941,,Juminda miiniväli,miiniväli,"Hukkus Juminda miiniväljal 13. oktoobril 1941.a., teel Hankost ida poole. Laev kaotanud plahvatuses vööriosa.",,,Kaotanud plahvatuses vööriosa,,,Leidmata,ei,,,,A324,w_blue,red_circle,"M0-311, Raj. II -  , Vene allveelaevahävitaja, hukkus Juminda miiniväljal 13. oktoobril 1941.a., teel Hankost ida poole. Laev kaotanud plahvatuses vööriosa. Leidmata. (A324)"
